File Name;Type;Creator;Comments;Category;Extension;Dup;Data by Ilan Szekely, Jerusalem
3-D Cursor;INIT;cPAT;;INIT/Dup; ;Dup;
Color Cursor;INIT;cPAT;;INIT/Dup; ;Dup;
Custom Cursor collection;INIT;cPAT;;INIT/Dup; ;Dup;
WinMouse;INIT;cPAT;;INIT/Dup; ;Dup;
CP AutoCheck™;APPL;CPAU; ;Application; ; ;
CP Anti-Virus;APPL;CPAV; ;Application; ; ;
Color Pavilion—Document;File;cPav;;; ; ;
CPS Preferences;Pref;CPAV;CP Anti-Virus;Pref; ; ;
Copernicus Background;appe;CPBK;;Background Only Application;; ;
CP Backup;APPL;CPBK; ;Application; ; ;
CP Backup—Backup file?;BKDT;CPBK;CP Backup;  ; ; ;
CP Backup—????;BKHS;CPBK;CP Backup;  ; ; ;
CP Backup—Schedule file?;BKSU;CPBK;CP Backup;  ; ; ;
CP Backup—Preferences;Pref;CPBK;CP Backup;Pref; ; ;
CheapBeep;cdev;cpbp; ;Control Panel; ; ;
afc.set;CPOP;CPBW;Anyone for Cards;Game; ; ;
Aaron Options;cdev;CpCf; ;Control Panel; ; ;
Copernicus Setup;APPL;CPCg;;Application;; ;
Copernicus Setup—ALASKAN EXPERIENCE;cpTI;CPCg;Copernicus Setup;;; ;
Copernicus Setup—Preferences;pref;CPCg;Copernicus Setup;Pref;; ;
Compact Pro;APPL;CPCT; ;Application; ; ;
Compact Pro—Archive;PACT;CPCT;Compact Pro;Compact Pro archive;CPT; ;
Compact Pro—Preferences;pref;CPCT;Compact Pro;Pref; ; ;
Compact Pro—StuffIt Archive;SIT!;CPCT;Compact Pro;Stuffit 1.x;SIT; ;
Butterfly.hqx;TEXT;CPCT;Compact Pro 1.51 document;Text File;TXT; ;
ClickPad II;cdev;CPd2; ;Control Panel; ; ;
CP DiskEdit;APPL;CPDE; ;Application; ; ;
CP DiskFix®;APPL;CPDF; ;Application; ; ;
CP Build Disk Data;CmCp;CPDF;CP DiskFix®;  ; ; ;
CP DiskFix Animation;DFAN;CPDF;CP DiskFix®;  ; ; ;
CP DiskFix®—Document;DFSU;CPDF;CP DiskFix®;  ; ; ;
CP DiskFix®—Folder Document;DFUD;CPDF;CP DiskFix®;  ; ; ;
CPS Preferences;Pref;CPDF;CP DiskFix®;Pref; ; ;
CP DiskFix®—Report file;TEXT;CPDF;CP DiskFix®;Text File;TXT; ;
COPYright Control™;cdev;CPDV; ;Control Panel; ; ;
Safe & Sound;APPL;CPED; ;Application; ; ;
MacTools Clinic;APPL;CPEL; ;Application; ; ;
MacTools Clinic—Tips;ELTP;CPEL;MacTools Clinic;  ; ; ;
CP FastCopy™;APPL;CPFC; ;Application; ; ;
CP FastCopy™—Disk Image;dImg;CPFC;CP FastCopy™;Disk Image; ; ;
DummyFile;FCIM;CPFC;CP FastCopy™;  ; ; ;
CP FastCopy™—????;FLPI;CPFC;CP FastCopy™;  ; ; ;
CP FastCopy™—Image File;Imag;CPFC;CP FastCopy™;Disk Image; ; ;
CP FastCopy™—Preferences File;Pref;CPFC;CP FastCopy™;Pref; ; ;
CP FastCopy™—Report File;TEXT;CPFC;CP FastCopy™;Text File;TXT; ;
CP FileFix™;APPL;CPFF; ;Application; ; ;
Cryptogrammer v1.1.1;APPL;CPg1;  ;Application/Game; ; ;
Cryptogrammer;APPL;CPgm; ;Application; ; ;
Copy II® Hard Disk 7.2;APPL;CPHD; ;Application; ; ;
CompuPic Mac PPC—Document;FILE;CPIC;;; ; ;
CompuPic Mac PPC—JEPG Format Graphic File;JPEG;CPIC;;Graphics JPEG;JPG; ;
Premiere Logo.pict;PICT;CPIC; ;Graphics PICT;PIC; ;
CP_IconEdit;APPL;CPIE;Ken Stahlman;Application;; ;
CP_IconEdit—Document;CPIE;CPIE;CP_IconEdit;;; ;
CP Installer;APPL;CPIR; ;Application; ; ;
Chinese Poker 1.0.1;APPL;CPkr;  ;Application/Game; ; ;
DayMaker Contacts Add-On;DMEX;CPL ; ;  ; ; ;
DayMaker StartUp;INIT;CPL!;;INIT; ; ;
Legal Builder;APPL;CPLG;;Application; ; ;
Pulses 1.1b;APPL;CPLS; ;Application; ; ;
2 boxes pentagon;set ;CPLS;Pulses 1.1b;  ; ; ;
Drop•Catapult;APPL;Cplt; ;Application; ; ;
Drop•Catapult—Disk File;disk;Cplt;Drop•Catapult;Disk File; ; ;
Drop•Catapult—Folder File;fold;Cplt;Drop•Catapult;Folder File; ; ;
CPMAC.DIR;VOLU;CPMA; ;  ; ; ;
Disk Bug Checker;APPL;CPMB; ;Application; ; ;
Medical Builder;APPL;CPMD; ;Application; ; ;
Color Picker;INIT;cpmg;;INIT; ; ;
CP Mirror Control Panel;cdev;CPMR;MacTools Utility;Control Panel; ; ;
KeyPlan™ 1.04;APPL;CPMS; ;Application; ; ;
Acta_Filter;FILT;CPMS;KeyPlan;Filter; ; ;
KeyPlan Help;STAK;CPMS;KeyPlan;HyperCard stack; ; ;
Getting Started;TPMS;CPMS;KeyPlan;  ; ; ;
CP Notification;APPL;CPND; ;Application; ; ;
CP Notification;APPL;CPNO; ;Application; ; ;
COUNTERPoint;APPL;CPNT; ;Application; ; ;
Corel PHOTO-PAINT 8 Demo—Windows BitMap Format Graphics File;BMP ;Cpnt;Corel Photo-Paint;Graphics BMP;BMP; ;
CP Bios;CBIO;CPNT;COUNTERPoint;  ; ; ;
CP Help;CPHP;CPNT;COUNTERPoint;  ; ; ;
Corel PHOTO-PAINT 8 Demo—Previous Version Document;CPT ;Cpnt;Corel Photo-Paint;; ; ;
Corel PHOTO-PAINT 8 Demo—Corel Paint 6 Format Graphics File;CPT6;Cpnt;Corel Photo-Paint;Graphics; ; ;
Corel PHOTO-PAINT 8 Demo—Version 7 Document;CPT7;Cpnt;Corel Photo-Paint;; ; ;
Corel PHOTO-PAINT 8 Demo—Document;CPT8;Cpnt;Corel Photo-Paint;; ; ;
CP Sounds;CSND;CPNT;COUNTERPoint;Sound; ; ;
Corel PHOTO-PAINT 8 Demo—EPS Format Graphics File;EPSF;Cpnt;Corel Photo-Paint;EPS;EPS; ;
CP Faces;FACE;CPNT;COUNTERPoint;  ; ; ;
Corel PHOTO-PAINT 8 Demo—GIF Format Graphics File;GIF ;Cpnt;Corel Photo-Paint;Graphics GIF;GIF; ;
Corel PHOTO-PAINT 8 Demo—GIF Format Graphics File;GIFf;Cpnt;Corel Photo-Paint;Graphics GIF;GIF; ;
Corel PHOTO-PAINT 8 Demo—IFF Format Graphics File;ILBM;Cpnt;Corel Photo-Paint;Graphics IFF;IFF; ;
Corel PHOTO-PAINT 8 Demo—GEM Format Graphics File;IMGg;Cpnt;Corel Photo-Paint;Graphics; ; ;
Corel PHOTO-PAINT 8 Demo—JPEG Format Graphics File;JPEG;Cpnt;Corel Photo-Paint;Graphics JPEG;JPG; ;
Corel PHOTO-PAINT 8 Demo—Mask File;MASK;Cpnt;Corel Photo-Paint;; ; ;
Corel PHOTO-PAINT 8 Demo—QuickTime Media File;MooV;Cpnt;Corel Photo-Paint;QuickTime Movie;MOV; ;
Corel PHOTO-PAINT 8 Demo—Brushes File;PCDI;Cpnt;Corel Photo-Paint;Graphics PCD Image File; ; ;
Corel PHOTO-PAINT 8 Demo—PCX Format Graphics File;PCX ;Cpnt;Corel Photo-Paint;Graphics PCX;PCX; ;
Corel PHOTO-PAINT 8 Demo—PICT Format Graphics File;PICT;Cpnt;Corel Photo-Paint;Graphics PICT;PIC; ;
Corel PHOTO-PAINT 8 Demo—MacPaint Format Graphics File;PNG ;Cpnt;Corel Photo-Paint;Graphics PNG;PNG; ;
Corel PHOTO-PAINT 8 Demo—PNG Format Graphics File;PNGf;Cpnt;Corel Photo-Paint;Graphics PNG;PNG; ;
Corel PHOTO-PAINT 8 Demo—Preferences;PREF;Cpnt;Corel Photo-Paint;Pref; ; ;
Corel PHOTO-PAINT 8 Demo—PostScript Output File;PS  ;Cpnt;Corel Photo-Paint;; ; ;
CP Color;RSCS;CPNT;COUNTERPoint;  ; ; ;
Corel PHOTO-PAINT 8 Demo—StartupScreen Format Graphics File;SCRN;Cpnt;Corel Photo-Paint;Graphics Startup Screen; ; ;
Corel PHOTO-PAINT 8 SCT Format Graphics File;SCTX;Cpnt;Corel Photo-Paint;Graphics Scitex;SCT; ;
Corel PHOTO-PAINT 8 TARGA Format Graphics File;TGA1;Cpnt;Corel Photo-Paint;Graphics TARGA;TGA; ;
Corel PHOTO-PAINT 8 Demo—TIFF Format Graphics File;TIFF;Cpnt;Corel Photo-Paint;Graphics TIFF;TIF; ;
Corel PHOTO-PAINT 8 Demo—TARGA Format Graphics File;TPIC;Cpnt;Corel Photo-Paint;Graphics TARGA;TGA; ;
CP Optimizer;APPL;CPOP; ;Application; ; ;
CP Optimizer—Preferences;BRAD;CPOP;CP Optimizer;  ; ; ;
OT/PPP CSM Helper;APPL;CPPP; ;Application; ; ;
OT/PPP CSM;sdev;CPPP;OT/PPP CSM Helper;Control Strip Module; ; ;
Printer Driver;PRER;CPRD; ;Chooser Extension; ; ;
Creator Changer—Preferences;pref;CPrf;;Pref; ; ;
ChemProject.68K;APPL;CPRJ; ;Application; ; ;
ChemProject.68K—Configuration;F+PR;CPRJ;ChemProject;  ; ; ;
ChemProject.68K—Library;prce;CPRJ;ChemProject;  ; ; ;
ChemProject.68K—Document;synt;CPRJ;ChemProject;  ; ; ;
CrossPro™ 1.1;APPL;CPRo;  ;Application/Game; ; ;
STAV001;CPZL;CPRo;CrossPro;Game; ; ;
CrossPro™ 1.1—Partially Completed Puzzle;pPZL;CPRo;CrossPro™;  ; ; ;
CrossPro™ 1.1—Puzzle Stationary;sPZL;CPRo;CrossPro™;  ; ; ;
CPS Clinic Report;CPRP;CPRP;CPS Clinic;  ; ; ;
Iraq Attack;APPL;CPRS; ;Application; ; ;
ColorPrint;APPL;CPRT; ;Application; ; ;
ClipRecover;APPL;CpRv; ;Application; ; ;
CyberPatrol;appe;CpSa; ;Background Only Application; ; ;
CP Scheduler;INIT;CPSD;MacTools Utility;INIT; ; ;
CP Scheduler—Crash Tracking;Pref;CPSD;CP Scheduler;Pref; ; ;
FastCopy;APPL;CPSF; ;Application; ; ;
Installer;APPL;CPSI; ;Application; ; ;
Launcher;APPL;CPSL; ;Application; ; ;
Mirror™;APPL;CPSM; ;Application; ; ;
Partition Init;INIT;CPSp;;INIT; ; ;
CP Rebuild™;APPL;CPSR; ;Application; ; ;
Copernicus Display;APPL;CPSs;;Application;; ;
Secure;APPL;CPSS; ;Application; ; ;
CPS TagFix;INIT;CPST;;INIT; ; ;
ClipSave;APPL;CpSv; ;Application; ; ;
SitToCpt;APPL;CPT1; ;Application; ; ;
CP TrashBack™;APPL;CPTB;MacTools Utility;Application; ; ;
Cyber Patrol;APPL;Cptl; ;Application; ; ;
Cyber Patrol—Data File;CpDa;Cptl;Cyber Patrol;;; ;
Cyber Patrol—Preferences;CpPr;Cptl;Cyber Patrol;Pref;; ;
Cyber Patrol—Binary File;iPnG;Cptl;Cyber Patrol;;; ;
CyberNot;IPNG;Cptl;Cyber Patrol;  ; ; ;
Cyber Patrol—Log File;tLog;Cptl;Cyber Patrol;;; ;
Technical Builder;APPL;CPTN; ;Application; ; ;
Compositor;APPL;CPtr;Robert Covington;Application;;;
Compositor Guide;APPL;CPtR;Robert Covington and Artly There;Application;;;
Compositor—PICT Format Graphics File;PICT;CPtr;Compositor;Graphics PICT;PIC;;
Compositor—Text File;TEXT;CPtr;Compositor;Text File;TXT;;
CP TrashBack™;INIT;CPTT;MacTools Utility;INIT; ; ;
Movie Converter—AIFF-C Sound File;AIFC;CPTX;Movie Converter;Sound AIFF-C; ; ;
Movie Converter—AIFF Sound File;AIFF;CPTX;Movie Converter;Sound AIFF;AIF; ;
Movie Converter;APPL;CPTX; ;Application; ; ;
Movie Converter—QuickTime File;MooV;CPTX;Movie Converter;QuickTime Movie;MOV; ;
Movie Converter—PICT Animation File;PICS;CPTX;Movie Converter;Animation PICS; ; ;
Movie Converter—PICT File;PICT;CPTX;Movie Converter;Graphics PICT;PIC; ;
Movie Converter—Scrapbook File;scbk;CPTX;Movie Converter;  ; ; ;
Movie Converter—Sound Resource;sfil;CPTX;Movie Converter;Sound System 7; ; ;
Movie Converter—Sound Resource File;snd ;CPTX;Movie Converter;Sound; ; ;
Movie Converter—QuickTime Stationary File;sooV;CPTX;Movie Converter;  ; ; ;
Movie Converter—System File;ZSYS;CPTX;Movie Converter;System document (6); ; ;
Load Monitor;APPL;CPU!; ;Application; ; ;
CPU Reporter;APPL;Cpu?; ;Application; ; ;
Computererkennung 68K;APPL;CPU?; ;Application; ; ;
CPU;APPL;CPU•; ;Application; ; ;
CP Undelete;APPL;CPUD; ;Application; ; ;
CPU Doubler;cdev;CPUD; ;Control Panel; ; ;
CP Undelete—Recovered Document;DOC ;CPUD;CP Undelete;  ; ; ;
CP Undelete—Preferences;Pref;CPUD;CP Undelete;Pref; ; ;
CPUModule;sdev;CPUM; ;Control Strip Module; ; ;
CPU-View;APPL;CpUv; ;Application; ; ;
Password Retriever;APPL;CPWR;;Application;;;
Password Retriever—Document;TEXT;CPWR;Password Retriever;Text File;TXT;;
CrossPuzzler;APPL;CPzr;  ;Application/Game; ; ;
World Capitals-Imp;CPzl;CPzr;CPUZZLER Crossword Puzzles ;Game; ; ;
~Color QuickCam;INIT;CQCm;Connectix;INIT; ; ;
Mr. Cat's Quest—Preferences;PREF;cqst;;Pref; ; ;
Crystal Quest CritterEditor 1.0;APPL;CQTk; ;Application; ; ;
StoogeQuest 2;CQPm;CQTk;Crystal Quest CritterEditor;  ; ; ;
Schmelta-V 1.0d10;APPL;crëM; ;Application; ; ;
EV Credit Hack 1.1;APPL;Cr$H; ;Application; ; ;
????—Document;MuAd;Cr37; ;  ; ; ;
Multi-Ad Creator—????;ACES;Cr38;Multi-Ad Creator;  ; ; ;
Multi-Ad Creator—Border;ADBR;Cr38;Multi-Ad Creator;  ; ; ;
Multi-Ad Creator—Stationary;AdSt;Cr38;Multi-Ad Creator;  ; ; ;
Multi-Ad Creator;APPL;Cr38; ;Application; ; ;
Multi-Ad Creator—Dictionary?;ASTL;Cr38;Multi-Ad Creator;  ; ; ;
Multi-Ad Creator—Interchange File;CIF ;Cr38;Multi-Ad Creator;  ; ; ;
Multi-Ad Creator—Color Pallete;Clr#;Cr38;Multi-Ad Creator;Color Pallete; ; ;
Multi-Ad Creator—List??;CLST;Cr38;Multi-Ad Creator;  ; ; ;
Multi-Ad Creator—Dictionary;CrDF;Cr38;Multi-Ad Creator;  ; ; ;
Multi-Ad Creator—Balloon Help;Cre?;Cr38;Multi-Ad Creator;Help; ; ;
Multi-Ad Creator—Hyphenation;CrHF;Cr38;Multi-Ad Creator;  ; ; ;
Multi-Ad Creator—Preferences;CRPR;Cr38;Multi-Ad Creator;Pref; ; ;
Multi-Ad Creator—Thesaurus;CrTF;Cr38;Multi-Ad Creator;  ; ; ;
Multi-Ad Creator—User Dictionary;CrUD;Cr38;Multi-Ad Creator;  ; ; ;
Multi-Ad Creator—EPS File;EPSF;Cr38;Multi-Ad Creator;EPS;EPS; ;
Multi-Ad Creator—PC Format EPS File;EPSP;Cr38;Multi-Ad Creator;EPS;EPS; ;
Multi-Ad Creator—Document;MuAd;Cr38;Multi-Ad Creator;  ; ; ;
Multi-Ad Creator—????;MuLa;Cr38;Multi-Ad Creator;  ; ; ;
Multi-Ad Creator—Stationary Document;suAd;Cr38;Multi-Ad Creator;  ; ; ;
Multi-Ad Creator—Text File;TEXT;Cr38;Multi-Ad Creator;Text File;TXT; ;
Multi-Ad Creator® 4—????;ACES;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—Border;ADBR;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—Stationary;AdSt;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4;APPL;Cr40; ;Application; ; ;
Multi-Ad Creator® 4—Spelling Dictionary;ASTL;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—Interchange File;CIF ;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—Color Pallette;Clr#;Cr40;Multi-Ad Creator® 4;Color Pallete; ; ;
Multi-Ad Creator® 4—List??;CLST;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—????;CrDf;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—????;CrDF;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—Help;Cre?;Cr40;Multi-Ad Creator® 4;Help; ; ;
Multi-Ad Creator® 4—Hypenation;CrHf;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—Preferences;CRPR;Cr40;Multi-Ad Creator® 4;Pref; ; ;
Multi-Ad Creator® 4—Thesaurus;CrTF;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—????;CrU2;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—User Dictionary;CrUD;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—????;CrUf;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—EPS File;EPSF;Cr40;Multi-Ad Creator® 4;EPS;EPS; ;
Multi-Ad Creator® 4—EPS File (PC Format);EPSP;Cr40;Multi-Ad Creator® 4;EPS;EPS; ;
Multi-Ad Creator® 4—GIF File;GIFf;Cr40;Multi-Ad Creator® 4;Graphics GIF;GIF; ;
Multi-Ad Creator® 4—Document;MuAD;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—????;MuLa;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—Stationary Document;suAd;Cr40;Multi-Ad Creator® 4;  ; ; ;
Multi-Ad Creator® 4—Text File;TEXT;Cr40;Multi-Ad Creator® 4;Text File;TXT; ;
Multi-Ad Creator® 4—TIFF File;TIFF;Cr40;Multi-Ad Creator® 4;Graphics TIFF;TIF; ;
Image Assistant™;APPL;CrA.;Iomega;Application; ; ;
Image Assistant™—Configuration;CrCf;CrA.;Image Assistant™;  ; ; ;
Image Assistant™—TIFF File;TIFF;CrA.;Image Assistant™;Graphics TIFF;TIF; ;
Crab;APPL;CRAB;  ;Application/Game; ; ;
PictureLink Installer(4D);APPL;CRAC; ;Application; ; ;
PictureLink .PICT;PICT;CRAC;PictureLink Installer;Graphics PICT;PIC; ;
AGXit! 2.01;APPL;CRAG; ;Application; ; ;
CrapsMaster;APPL;CRAI; ;Application; ; ;
Crack-a-Mac [Depersonalize];APPL;CraK; ;Application; ; ;
Crackpots;APPL;CRAK;;Application/Game; ; ;
Toilet;APPL;crap; ;Application; ; ;
Toilet;APPL;Crap; ;Application; ; ;
Female Anterior rotation;crap;crap;ADAM;  ; ; ;
Borromean;√3D ;Cr√s;Curvus Pro;  ; ; ;
Bessel;√doc;Cr√s;Curvus Pro;  ; ; ;
Curvus Pro—Functions File;√fn ;Cr√s;Curvus Pro;;; ;
Curvus Pro Help;√hlp;Cr√s;Curvus Pro;  ; ; ;
Generic Plug-in;√PLG;Cr√s;Curvus Pro;  ; ; ;
Curvus Pro 1.3.1 E FAT;APPL;Cr√s; ;Application; ; ;
Curvus Pro—QuickTime Media File;MooV;Cr√s;Curvus Pro;QuickTime Movie;MOV; ;
Curvus Pro—Preferences;pref;Cr√s;Curvus Pro;Pref;; ;
Curvus Pro 3.0.1—3D Chart Stationary File;s3D ;Cr√s;Curvus Pro;;; ;
Curvus Pro 3.0.1—Stationary File;sdoc;Cr√s;Curvus Pro;;; ;
Curvus Pro—Text File;TEXT;Cr√s;Curvus Pro;Text File;TXT; ;
MacAuto 3.21;APPL;CraZ; ;Application; ; ;
MacAuto™ ;APPL;CRAZ; ;Application; ; ;
Cloudz Prefz 1.0;P<pf;crAZ;  ;Pref; ; ;
Crystal Ball®;APPL;CRBL; ;Application; ; ;
Crystal Ball®—Help;CRBH;CRBL;Crystal Ball®;  ; ; ;
Creator Changer 2.5 FAT;APPL;CrCh; ;Application; ; ;
ApptCruncher;APPL;CRCH;HealthCare Communications;Application; ; ;
Crystal Rock—Document;matt;CRCK;;; ; ;
Crossword Companion;APPL;CrCp;VISIONS Technology in Education;Application;; ;
Captivate Store Demo Init;INIT;CrCr;  ;INIT/Dup; ;Dup;
ClickPaste 2.1 INIT;INIT;CrCr;ClickPaste;INIT/Dup; ;Dup;
Captivate Store Demo—PICT Format Graphics File;PICT;CrCr;ClickPaste;Graphics PICT;PIC; ;
Captivate Store Demo—System 7 Format Sound File;sfil;CrCr;ClickPaste;Sound System 7; ; ;
ClickPaste PageMaker logo;SpCA;CrCr;ClickPaste;  ; ; ;
ClickPaste HyperCard Buttons;SpCH;CrCr;ClickPaste;  ; ; ;
Captivate Store Demo—QuickTime File;SpCM;CrCr;ClickPaste;QuickTime File; ; ;
ClickPaste Pictures;SpCP;CrCr;ClickPaste;  ; ; ;
Captivate Store Demo—Help;SpCr;CrCr;ClickPaste;Help; ; ;
ClickPaste Sounds like Ahhhh;SpCS;CrCr;ClickPaste;  ; ; ;
Dear Sir;SpCT;CrCr;ClickPaste;  ; ; ;
Captivate Store Demo—Text File;TEXT;CrCr;ClickPaste;Text File;TXT; ;
Crystal Cave;APPL;CrCv; ;Application; ; ;
Captivate Store Demo—;dfil;CrDA;;System 7 DA; ; ;
CrystalDesignerPPC—Data File;dCry;CrDe;CrystalDesigner;; ; ;
CrystalDesignerPPC—Preferences;Pref;CrDe;CrystalDesigner;pref ; ; ;
ChordFinder! v1;APPL;CrdF; ;Application; ; ;
CrystalDiffract_100_FAT;APPL;CRDI; ;Application; ; ;
Coral Reef! • Mac;APPL;CrDm; ;Application; ; ;
Cursor ;APPL;CRDM; ;Application; ; ;
Cards;rsrc;CRDS;Resource file;Resource; ; ;
Cricket Draw 1.1;APPL;CRDW; ;Application; ; ;
Cricket Draw 1.1—Document;CKDT;CRDW;Cricket Draw;  ; ; ;
PostScript Hinweise;CRHP;CRDW;Cricket Draw;  ; ; ;
Rocking Horse;EPSF;CRDW;Cricket Draw;EPS;EPS; ;
Logo MAC e.V.;PICT;CRDW;Cricket Draw;Graphics PICT;PIC; ;
Creator Dictionary;AMDF;CRE2;Multi-Ad Creator;  ; ; ;
Multi-Ad Creator™ 2.2;APPL;CRE2; ;Application; ; ;
Styles;ASTL;CRE2;Multi-Ad Creator;  ; ; ;
Creator 2 Prefs;CRPR;CRE2;Multi-Ad Creator;  ; ; ;
Read Me Ad;MuAd;CRE2;Multi-Ad Creator;  ; ; ;
????—Text File;TEXT;CRE2;Multi-Ad Creator;Text File;TXT; ;
StartupLog V1.0;APPL;CRE3; ;Application; ; ;
StreetSmart;APPL;CREA; ;Application; ; ;
StreetSmart—Help;TYPE;CREA;StreetSmart;  ; ; ;
EasyClient;APPL;creC; ;Application; ; ;
EasyClient—Folder File;fold;creC;EasyClient;Folder File; ; ;
iDo Script Scheduler;APPC;CrEd;Sophisticated Circuits, Inc.;Control Panels Application;;;
EasyDrop 1.0b1;APPL;creD; ;Application; ; ;
Color Bits;APPL;cRED; ;Application; ; ;
Cursor Designer;APPL;CRED; ;Application; ; ;
C Reference Card;APPL;CRef; ;Application; ; ;
Registering Qube;APPL;cReg;Catara™ Software;Application;;;
Registering Qube—License File;cLic;cReg;Registering Qube;;;;
Corel BMP/RLE Converter;thng;cREL; ;Extension; ; ;
EasyDrop Primer;APPL;crEP; ;Application; ; ;
EasyServer;APPL;creS; ;Application; ; ;
EasyTransfer;APPL;creT; ;Application; ; ;
EasyTransfer v2.2.0;APPL;CRet; ;Application; ; ;
EasyTransfer—Folder File;fold;creT;EasyTransfer;Folder File; ; ;
Reversi;APPL;CRev;  ;Application/Game; ; ;
Volume=>0*;APPL;CREV; ;Application; ; ;
CRF ;APPL;CRFa; ;Application; ; ;
Crafty 6.3;APPL;CRFT;Chess program Crafty ;Application; ; ;
CrashGuard Extension;INIT;CrGd;Symantec;INIT; ; ;
CrashGuard Extension—Log File;Log ;CrGd;CrashGuard Extension;  ; ; ;
CrashGuard Extension—Plug-in;Plgn;CrGd;CrashGuard Extension;  ; ; ;
CrashGuard Extension—Shared Library;shlb;CrGd;CrashGuard Extension;Shared Library; ; ;
CraftGen v3.0;APPL;CrGn; ;Application; ; ;
CA-Cricket Graph III;APPL;CRGR; ;Application; ; ;
CA-Cricket Graph III—Data Sheet;CGDW;CRGR;CA-Cricket Graph III;  ; ; ;
CA-CricketGraphIII Quick3;CGGF;CRGR;CricketGraphIII;  ; ; ;
CA-Cricket Graph III—Graph;CGGW;CRGR;CA-Cricket Graph III;  ; ; ;
CA-Cricket Graph III—Preferences;CGPR;CRGR;CA-Cricket Graph III;Pref; ; ;
CA-Cricket Graph III—Palatte;CPAL;CRGR;CA-Cricket Graph III;  ; ; ;
CA-Cricket Graph III—Published Edition;edtp;CRGR;CA-Cricket Graph III;Published Edition; ; ;
CA-Cricket Graph III—Published Data;edtt;CRGR;CA-Cricket Graph III;Subscribed edition; ; ;
CA-Cricket Graph III—EPS File;EPSF;CRGR;CA-Cricket Graph III;EPS;EPS; ;
CA-Cricket Graph III—Help;HELP;CRGR;CA-Cricket Graph III;Help; ; ;
CA-Cricket Graph III—PICT File;PICT;CRGR;CA-Cricket Graph III;Graphics PICT;PIC; ;
CA-Cricket Graph III—Stationary Data Sheet;sGDW;CRGR;CA-Cricket Graph III;  ; ; ;
CA-Cricket Graph III—Stationary Graph;sGGW;CRGR;CA-Cricket Graph III;  ; ; ;
CA-Cricket Graph III—Text File;TEXT;CRGR;CA-Cricket Graph III;Text File;TXT; ;
Haul It 2.1;APPL;CRHT; ;Application; ; ;
MacCribbage;APPL;crib; ;Application; ; ;
Precision Cribbage™;APPL;CRIB; ;Application; ; ;
McPoet 3.1;APPL;CRIS; ;Application; ; ;
Print Juggler;INIT;CRis;;INIT; ; ;
McPoet—QuickTime Media File;MooV;CRIS;McPoet 3.1;QuickTime Movie;MOV; ;
McPoet—HyperCard Stack Document;POET;CRIS;McPoet 3.1;; ; ;
Cryptix;APPL;Crix;  ;Application/Game; ; ;
Cryptix—Game File;Crix;Crix;Cryptix;  ; ; ;
Cryptix—Preferences;pref;Crix;Cryptix;Pref; ; ;
Cryptix—Text File;TEXT;Crix;Cryptix;Text File;TXT; ;
Euchre 2.5;APPL;CRJE; ;Application; ; ;
Euchre Options;EUCH;CRJE;Euchre;  ; ; ;
Euchre;APPL;CRJS;  ;Application/Game; ; ;
Euchre—Card Set;EUCH;CRJS;Euchre;  ; ; ;
Euchre 5.1;APPL;CRJZ; ;Application; ; ;
Euchre options;EUCH;CRJZ;Euchre;  ; ; ;
Crooked Mouse 1.0;INIT;CrkM;;INIT; ; ;
Color SW Pro GX—Desktop Printer (Serial);dpcn;CRKt; ;Desktop Printer; ; ;
Color SW Pro GX—Desktop Printer (Network);dpcs;CRKt; ;Desktop Printer; ; ;
Color SW Pro GX—Deactivated desktop printer;dpna;CRKt; ;Deactivated desktop printer; ; ;
Color SW Pro GX—Inactive direct desktop printer;dpnn;CRKt; ;Deactivated desktop printer; ; ;
Color SW Pro GX—Inactive network desktop printer;dpns;CRKt; ;Network Configuration; ; ;
Color SW Pro GX—Extension;dppz;CRKt; ;GX—Extension; ; ;
Color SW Pro GX—Desktop Printer (Not Loaded);dvcf;CRKt; ; ; ; ;
Color SW Pro GX—Print Driver;pdrv;CRKt; ; ; ; ;
Color SW Pro—Print Monitor File;pmgr;CRKt;Color SW Pro;  ; ; ;
Printer Driver—Color SW Pro;PRER;CRKt;Color SW Pro;Chooser Extension; ; ;
